#,Workflow Phase,Item,Category,Primary “Layer”,Language / Runtime,Short description / role
41,Orchestration,Cursor (Composer),Agentic IDE,Development Environment,Proprietary Model / VS Code,"The primary workspace for Vibe Coding. ""Composer"" mode writes code across multiple files simultaneously using semantic understanding."
42,Orchestration,Claude Sonnet 4.5,LLM (Model),AI Model / API,Anthropic API,"The intelligent ""brain"" best suited for complex architecture, reasoning, and generating initial code plans."
43,Orchestration,Windsurf,Agentic IDE,Development Environment,Cascade Engine,"Alternative IDE that maintains deep context of your codebase and user actions (""flow"" state) to predict next edits."
44,Orchestration,v0 / Lovable,Generative UI Tool,Rapid Prototyping,React / Tailwind Generator,Instantly generates production-ready UI components from text prompts to speed up the start of a project.
45,Orchestration,CLAUDE.md,Context File,Documentation / Context,Markdown,"The ""Constitution"" for your project. Tells the AI your coding standards, stack, and architecture decisions to prevent drift."
46,Frontend,shadcn/ui,Component Library,Front‑end,React / Tailwind,A collection of re-usable components that you can copy and paste into your apps. The de-facto standard for AI-generated UIs.
47,Frontend,Lucide React,Icon Library,Front‑end,SVG / React,"The standard, clean icon set used by shadcn/ui and most modern frameworks, highly compatible with AI generators."
48,Frontend,Framer Motion,Animation Library,Front‑end,React,"A production-ready motion library for React that adds professional polish and ""feel"" (micro-interactions) with minimal code."
49,Frontend / Backend,Zod,Data Validation Library,Shared,TypeScript,Schema declaration and validation library. Crucial when AI generates code to ensure runtime data structures match TypeScript interfaces.
50,Backend,Supabase,Backend-as-a-Service,Back‑end,PostgreSQL / Go,"Replaces a custom backend team. Provides Authentication, Database, and Realtime subscriptions out of the box."
51,Backend,PostgreSQL,Database,Back‑end (Data store),SQL,The rock-solid object-relational database system that powers Supabase. The industry standard for production data.
52,Backend,Server Actions,Next.js Feature,Back‑end,TypeScript (Server),"Allows you to call backend functions directly from frontend components (e.g., form submissions) without manually creating API routes."
53,Backend,Prisma,ORM (Object-Relational Mapper),Back‑end,TypeScript,Lets you interact with your database using readable TypeScript methods (db.user.findMany()) instead of writing raw SQL.
54,Frontend,TanStack Query,State Management Library,Front‑end,TypeScript,"Manages fetching, caching, synchronizing and updating server state in your React applications."
55,Testing,Vitest,Test Runner,DevOps / Testing,TypeScript / Vite,"A blazing fast unit test framework powered by Vite, serving as a modern, faster alternative to Jest."
56,Testing,Playwright,E2E Testing Framework,DevOps / Testing,TypeScript,Enables reliable end-to-end testing for modern web apps by automating the browser to simulate real user interactions.
57,DevOps,Docker Compose,Orchestration Tool,DevOps,YAML,"A tool for defining and running multi-container Docker applications (e.g., running Next.js + FastAPI + Postgres locally)."
58,Backend,Clerk,Authentication Provider,Back‑end (Auth),React / Node.js,"specialized authentication platform. Often used as a simpler, pre-built alternative to implementing Supabase Auth manually."
59,Backend,Neon,Serverless Postgres,Back‑end (Data store),SQL,A serverless Postgres database that scales to zero. An alternative to Supabase if you only need the database layer.
60,Orchestration,Vercel AI SDK,AI Integration Library,Shared,TypeScript,"A library to easily build AI-powered applications (streaming text, chat interfaces) with Next.js and React."
61,DevOps,pnpm,Package Manager,DevOps,Node.js,"A fast, disk space-efficient package manager. An alternative to npm that is often preferred in modern monorepo setups."
62,Frontend,Radix UI,Headless UI Primitives,Front‑end,React,"The unstyled, accessible foundation upon which shadcn/ui is built. Handles complex logic like focus management and keyboard navigation."
63,Backend,Resend,Email API,Back‑end (Communication),HTTP API,A modern email sending platform for developers. Designed to be easily integrated into Next.js/React applications.
64,Backend,Upstash,Serverless Data,Back‑end,Redis / Kafka,Provides serverless Redis and Kafka for caching and messaging. Useful for rate limiting and fast ephemeral data storage.
